transaction_id,transaction_reference,transaction_time,amount,transaction_type,account_id,atm_id,latitude,longitude,risk_label,complaint_id,timestamp
TXN00007455,TXN-2026-007455,2026-01-01 00:32:33,2500.0,WITHDRAWAL,ACC002667,ATM0170,27.162903,78.054218,0,,2026-01-01 00:32:33
TXN00019604,TXN-2026-019604,2026-01-01 01:12:36,2000.0,WITHDRAWAL,ACC003128,ATM0322,28.969729,77.7309,0,,2026-01-01 01:12:36
TXN00021209,TXN-2026-021209,2026-01-01 01:34:50,500.0,WITHDRAWAL,ACC007248,ATM0268,27.161246,78.400457,0,,2026-01-01 01:34:50
TXN00014516,TXN-2026-014516,2026-01-01 04:00:11,500.0,WITHDRAWAL,ACC004669,ATM0153,25.431383,78.573169,0,,2026-01-01 04:00:11
TXN00026354,TXN-2026-026354,2026-01-01 04:22:46,2500.0,WITHDRAWAL,ACC005986,ATM0473,28.477143,77.504416,0,,2026-01-01 04:22:46
TXN00014273,TXN-2026-014273,2026-01-01 04:35:51,1000.0,WITHDRAWAL,ACC001572,ATM0399,28.571521,77.323329,0,,2026-01-01 04:35:51
TXN00026393,TXN-2026-026393,2026-01-01 06:24:53,3000.0,WITHDRAWAL,ACC003177,ATM0378,25.435544,78.555407,0,,2026-01-01 06:24:53
TXN00028314,TXN-2026-028314,2026-01-01 06:41:31,5000.0,DEPOSIT,ACC003541,ATM0030,28.990285,77.70902,0,,2026-01-01 06:41:31
TXN00028027,TXN-2026-028027,2026-01-01 06:52:07,1000.0,WITHDRAWAL,ACC005774,ATM0129,28.99449,77.702211,0,,2026-01-01 06:52:07
TXN00003422,TXN-2026-003422,2026-01-01 07:49:50,1000.0,WITHDRAWAL,ACC005467,ATM0402,26.422631,80.339152,0,,2026-01-01 07:49:50
TXN00013529,TXN-2026-013529,2026-01-01 08:42:07,500.0,WITHDRAWAL,ACC008692,ATM0080,25.159568,82.503038,0,,2026-01-01 08:42:07
TXN00003042,TXN-2026-003042,2026-01-01 09:01:10,10000.0,DEPOSIT,ACC008595,ATM0059,27.500522,77.669286,0,,2026-01-01 09:01:10
TXN00007344,TXN-2026-007344,2026-01-01 09:18:46,10000.0,WITHDRAWAL,ACC006476,ATM0342,25.737073,82.674138,0,,2026-01-01 09:18:46
TXN00028481,TXN-2026-028481,2026-01-01 09:39:29,0.0,BALANCE_CHECK,ACC008626,ATM0236,26.759718,83.369117,0,,2026-01-01 09:39:29
TXN00002301,TXN-2026-002301,2026-01-01 09:50:52,1000.0,WITHDRAWAL,ACC003096,ATM0394,27.506278,77.676996,0,,2026-01-01 09:50:52
TXN00019724,TXN-2026-019724,2026-01-01 09:51:39,2500.0,WITHDRAWAL,ACC008590,ATM0214,28.636403,77.369869,0,,2026-01-01 09:51:39
TXN00017974,TXN-2026-017974,2026-01-01 10:09:26,0.0,BALANCE_CHECK,ACC007181,ATM0396,27.165026,78.405594,0,,2026-01-01 10:09:26
TXN00021115,TXN-2026-021115,2026-01-01 10:20:39,3000.0,WITHDRAWAL,ACC004706,ATM0234,25.45652,78.577159,0,,2026-01-01 10:20:39
TXN00019784,TXN-2026-019784,2026-01-01 10:35:19,3000.0,TRANSFER,ACC000855,ATM0041,28.511216,77.410781,0,,2026-01-01 10:35:19
TXN00012128,TXN-2026-012128,2026-01-01 10:44:28,4000.0,WITHDRAWAL,ACC007457,ATM0495,27.160899,78.030661,0,,2026-01-01 10:44:28
TXN00023492,TXN-2026-023492,2026-01-01 10:54:25,1000.0,WITHDRAWAL,ACC000880,ATM0383,25.440712,78.555396,0,,2026-01-01 10:54:25
TXN00010234,TXN-2026-010234,2026-01-01 10:59:06,1000.0,WITHDRAWAL,ACC002958,ATM0304,28.618056,77.365046,0,,2026-01-01 10:59:06
TXN00021020,TXN-2026-021020,2026-01-01 11:26:15,3000.0,WITHDRAWAL,ACC005481,ATM0466,28.992508,77.706963,0,,2026-01-01 11:26:15
TXN00029513,TXN-2026-029513,2026-01-01 11:26:41,2000.0,WITHDRAWAL,ACC008488,ATM0252,25.168045,82.494793,0,,2026-01-01 11:26:41
